date,total,total_inside,total_outside,total_gas,total_aqueous,total_gas_inside,total_aqueous_inside,total_gas_outside,total_aqueous_outside
2020-01-01,2950110403.494569,2801027529.1930046,149082874.30156425,2866309291.7529535,83801111.74161507,2718499214.7012033,82528314.49180119,147810077.05175036,1272797.2498138854
2040-01-01,3252753410.9915805,3025006819.62356,227746591.36802068,3161681473.593536,91071937.39804439,2935879272.1261377,89127547.49742211,225802201.4673984,1944389.9006222878
2060-01-01,3569358740.251085,3244595115.6268134,324763624.6242714,3470988659.927877,98370080.32320818,3148997709.5641327,95597406.06268097,321990950.36374414,2772674.260527217
2080-01-01,3899707149.510654,3460642921.755759,439064227.75489485,3793995683.0548406,105711466.45581332,3358679972.654445,101962949.10131377,435315710.4003953,3748517.3544995436
2100-01-01,4242510453.990755,3673190289.64567,569320164.3450854,4129424517.968195,113085936.02256043,3564964932.9675636,108225356.67810643,564459585.0006313,4860579.344453991
2120-01-01,4595891582.163779,3881796095.6690555,714095486.4947237,4475423349.650596,120468232.51318412,3767424463.959774,114371631.70928174,707998885.6908213,6096600.803902372
2140-01-01,4958056020.216434,4085993002.790521,872063017.4259125,4830222764.504935,127833255.71149893,3965604998.0204473,120388004.7700737,864617766.4844873,7445250.941425228
2160-01-01,5327855716.723927,4285551190.3349056,1042304526.3890204,5192689321.856205,135166394.86772028,4159283485.815568,126267704.51933739,1033405836.0406375,8898690.348382892
2180-01-01,5705067814.7428665,4480513386.085154,1224554428.6577127,5562601173.280865,142466641.46200135,4348501396.21439,132011989.8707649,1214099777.066476,10454651.591236439
2200-01-01,6090377753.025101,4671114971.708718,1419262781.3163838,5940632979.973811,149744773.0512907,4533487175.6964445,137627796.01227376,1407145804.2773669,12116977.03901692
